13781C,739579
12096C,49022
22123C,13773C
13781C,49022C
12028,13773C
22258C,49022
13566C,11793C
22258C,13781C
48986,13773C
39104,13563C
13710C,48430C
734096,49022
48093,48094
48525,39122
48986,99999744
22495C,22246C
13752C,13514C
48387,22393,733894
13771C,13514C
12096C,48951
22495C,733614
13574C,13705C
13578C,13781C
13781C,13773C
13781C,733894
13774C,39102
13773C,13563C
13781C,13771C
13781C,13566C
13569C,48944C
13575C,13774C
733855,13734
13788C,49022
13781C,49063
13734,13563C
48951,49022
22381,733894,11793C
13781C,13563C
13710C,13773C
13781C,13773C
733673,22381
48525,13563C
22709C,38409
13710C,733645
99999737,39102
49022,49022C
22683,13566C
22495C,48430C
13795C,48430C
13781C,48904
13771C,22667C
48504,49063
13767C,13563C
733894,22705C
733673,13563C
13781C,39102
13781C,38409
13514C,13773C
99999737,739579
13781C,11793C
13781C,13727C
13795C,13774C
39102,13566C
13510C,13705C
13710C,733947
13566C,733894
13710C,13773C
48430C,22705C
22246C,13773C
13510C,13566C
13771C,13773C
13781C,733997
99999689,99999766
22704C,733645
13710C,733645
13780C,13781C
13781C,13510C
13781C,13563C
49022,733894
48944C,13773C
13773C,49022C
13774C,22667C
12095C,22667C
13781C,13710C
13781C,13563C
22705C,11793C
13781C,13773C
733645,13563C
13510C,13773C
13781C,13566C
22704C,22705C
13781C,13705C
39124,49063
13773C,733645
12095C,13710C,13563C
22667C,49063
22123C,22381
13771C,13773C
13771C,22705C
13514C,13566C
13781C,733894
13752C,13773C
48944C,13773C
13773C,13563C
13781C,13710C
13575C,13566C
22683,733604
38409,13710C
13710C,739579
48525,22705C
99999737,22705C
13510C,49022
13771C,13678C
48430C,739579
13710C,13773C
13781C,13773C
13781C,48430C
13575C,13771C
22358C,13566C
13710C,39109
48557,48138C
13710C,13745C
22258C,13772C
13781C,22705C
13781C,49063
13510C,22488C
48430C,13563C
48944C,13773C
38409,13566C
13566C,13773C
13781C,13734
733947,49063
13781C,13771C
48094,39122
48094,48557C
13781C,13705C,48944C,733604
13569C,39117
13705C,13514C
13781C,13563C
22246C,22640
13710C,22705C
22640,48430C,49022C
48093,739579
48986,13514C
13781C,13514C
22667C,49022
48525,38834C
48430C,49022
22246C,13678C
13574C,734096
13710C,13678C,13772C
48509,48138
13578C,48525
22393,39122
13773C,13563C
22640,13563C
48138C,739579
13795C,13710C
48976,49022C
13566C,733645
48986,22358C
733855,13734,733894,733645
39124,48509,48094
13734,733902
13781C,13678C
99999725,13705C
13569C,22393
733604,13563C
13566C,13773C
48504,39109,48094
99999729,13781C
13510C,13773C
13710C,22705C
99999737,11793C
38409,739579,733645
13678C,13773C
22468C,38409
13781C,48944C
12096C,13781C
733902,13773C
13771C,48430C
13774C,22704C
48430C,49063
39124,48094,39102,39117
49022,49022C
39104,13514C,22381
13752C,13514C
13774C,13510C
48525,13773C
22667C,11793C
13678C,13773C
13781C,13563C
48986,49063
733614,48904
13514C,13563C
13510C,13514C
22246C,13569C
38409,13566C
13781C,13678C
13781C,13514C
22258C,13563C
13566C,13773C
22258C,13710C
39102,733614,13773C,733604
13510C,13563C
13510C,13563C
13773C,11793C
13574C,13575C
48525,13734C
13991C,13734
12028,38409
13781C,13563C
48504,48525
13781C,739579
13575C,13774C
12096C,39102,39117
13574C,13773C
13705C,13710C
12028,734097
13795C,733902
22393,22381
13773C,11793C
13771C,22667C
13781C,49022C
22495C,48951
13781C,733902
13781C,13566C
22667C,11793C
13781C,13710C
22393,39109,739579
734096,734097,733604
13566C,733645
13705C,13771C,22123C
13781C,13773C
12096C,22258C
13771C,739579
13781C,13566C
13510C,13773C
13781C,13563C
48430C,22381
49022,13773C
13774C,13773C
13771C,13773C
13781C,13710C
13727C,13773C
13773C,11793C
39109,48565,39122
733546,13734C,39122
12096C,13514C
13741,12032
13569C,11793C
13781C,13773C
13566C,13773C
12095C,12032
733614,13566C
13781C,13773C
22258C,13773C
13991C,22704C,13563C
22258C,13771C
48430C,13773C
22640,38409
38409,38565
13514C,13563C
13710C,22667C
13781C,13563C
99999725,739579
13566C,13773C
13795C,48988
13781C,13773C
733947,13773C
38409,22381
48430C,13563C
12096C,38409
13705C,22705C
12095C,13781C
13781C,13773C
22258C,49022C
12028,13781C,733604
13781C,13705C
13650,22625C
13514C,13773C
22258C,13773C
12032,13563C
13514C,11793C
48944C,13514C
001,739579
38565,13773C
22258C,11793C
22258C,13773C
13788C,13773C
13514C,13744C
22123C,13678C
22495C,22123C
22495C,22123C
48430C,22381
13781C,733947
13780C,13734
22640,22667C
13569C,13781C
13773C,22705C
13781C,733604
13795C,13563C
38409,13678C
22381,13773C
733947,13773C
12028,49022C
13738C,13738
48988,739579
13569C,13773C
733902,13773C
48976,22625C
13710C,733645
13569C,13781C
12028,13650
48988,49022
22667C,22704C
49022,733773
12028,12096C,734097
13705C,38565
13781C,49022C
13738C,13738
12096C,13956C
13781C,13710C
13774C,48904
38409,739579
13770C,733604
13514C,13773C
22667C,13566C
48986,13781C
38565,734096
13510C,13514C
13575C,13773C
13781C,733903
13514C,13773C
13771C,733645
13566C,13734
39109,13650,22625C
13514C,733902
38409,13563C
99999729,38409
13781C,13773C
22258C,38472
13650C,38565
733614,13678C
13710C,13563C
13774C,22381
733947,49022,739579,49022C
733614,13773C
13650,22625C
13781C,13773C
12028,22704C
13574C,13510C
12096C,38409
48988,49022C
13781C,13773C
49063,22625C
13781C,13563C
22469C,11793C
13566C,13773C
13781C,13734
13741,13514C,733902
13741,739579,733997
38565,734096
22473,13650
13514C,13773C
12028,13773C
733947,22625C
22258C,13715
13705C,733604
13566C,13678C
38488C,49022C
13514C,22625C
48986,733778,48944C
22625C,22705C
13781C,13773C
39104,22625C
48988,733614
13781C,13773C
13773C,733645
13781C,22704C
13781C,13563C
38472,38157
22123C,733645
38472,38545,38157
13574C,13575C
22625C,13956C
13575C,13566C
13569C,13563C
13574C,22258C
13569C,13771C
12095C,38409
13650,13773C
13710C,13773C
13569C,13781C
13569C,13774C
13514C,13772C
13650,13956C
22358C,22381
38488C,39102
13715,22625C
48565,38472
38472,38157
13710C,13563C
48904,733894,49022,13690,38472
22246C,13773C
13771C,13514C
733947,13772C
13690C,13956C
22258C,22625C
12095C,22258C
13774C,13710C
12096C,38472
13650,13715
13781C,22381
13514C,13773C
13781C,13744C
12028,13563C
48976,13773C
13715C,13773C
22258C,13773C
38488C,13773C
38409,733604
13781C,733947
13569C,13781C,13566C
48986,13690
38488C,13690,38472
22258C,13781C
22667C,734096
22381,13956C
13781C,13773C
13781C,13514C
13774C,13773C
38409,13650,38472
13781C,733752
13781C,22381
22640,22667C
13781C,22625C
13781C,22625C
12096C,38409
733902,22625C
22258C,22123C
13575C,13781C
48988,13710C
13781C,22704C
13774C,48904
13734,99999744
733752,38157
22258C,13773C
38472,11793C
13781C,13563C
22625C,13956C
12028,49022
38409,733604
13771C,733752
13795C,13715
38488C,13569C
13569C,13773C
13991C,13678C
13575C,734096
99999725,13710C
13781C,733752
13510C,13727C
49022C,48904
49022,99999744
13795C,13773C
13773C,22705C
49063,22625C
13650,733604
13781C,734097
13715C,13650
38488C,13781C
13569C,38409
13781C,13710C
733612,13772C
38488C,733752
733778,733752
13510C,13773C
13781C,13773C
13781C,733752
12028,733752
13781C,733902
13510C,13773C
13735C,13690C
38488C,38472
13780C,11793C
13795C,733752
22683,22625C,13956C
13715,13772C
13514C,13772C
13744C,13678C
13771C,13650
13650,38472
12095C,12096C
13788C,733752
38488C,38409
733752,13773C
